split,model,layer,duration,duration_val,test_split,metric,score
dev,HuBERT VP-20,11,1h,60,dev,triphone_abx_continuous,8.55
dev,HuBERT VP-20,11,0,1,test,triphone_abx_continuous,8.29
dev,HuBERT VP-20,11,0,1,dev,triphone_abx_continuous,9.86
dev,SpidR MMS-ulab,5,10h,600,test,triphone_abx_continuous,6.95
dev,SpidR MMS-ulab,6,10min,10,test,triphone_abx_continuous,8.17
dev,SpidR MMS-ulab,5,1h,60,test,triphone_abx_continuous,7.41
dev,SpidR MMS-ulab,5,10h,600,dev,triphone_abx_continuous,8.39
dev,SpidR MMS-ulab,6,10min,10,dev,triphone_abx_continuous,9.91
dev,SpidR MMS-ulab,5,1h,60,dev,triphone_abx_continuous,8.8
dev,SpidR MMS-ulab,5,0,1,test,triphone_abx_continuous,7.87
dev,SpidR MMS-ulab,5,0,1,dev,triphone_abx_continuous,9.1
dev,SpidR VP-20,6,10h,600,test,triphone_abx_continuous,5.52
dev,SpidR VP-20,7,10min,10,test,triphone_abx_continuous,6.49
dev,SpidR VP-20,7,1h,60,test,triphone_abx_continuous,5.82
dev,SpidR VP-20,6,10h,600,dev,triphone_abx_continuous,6.42
dev,SpidR VP-20,7,10min,10,dev,triphone_abx_continuous,7.84
dev,SpidR VP-20,7,1h,60,dev,triphone_abx_continuous,6.88
dev,SpidR VP-20,6,0,1,test,triphone_abx_continuous,7.09
dev,SpidR VP-20,6,0,1,dev,triphone_abx_continuous,8.27
test,HuBERT MMS-ulab,12,10h,600,test,triphone_abx_continuous,6.93
test,HuBERT MMS-ulab,11,10min,10,test,triphone_abx_continuous,7.79
test,HuBERT MMS-ulab,11,1h,60,test,triphone_abx_continuous,7.38
test,HuBERT MMS-ulab,12,10h,600,dev,triphone_abx_continuous,9.26
test,HuBERT MMS-ulab,11,10min,10,dev,triphone_abx_continuous,10.88
test,HuBERT MMS-ulab,11,1h,60,dev,triphone_abx_continuous,10.18
test,HuBERT MMS-ulab,12,0,1,test,triphone_abx_continuous,8.72
test,HuBERT MMS-ulab,12,0,1,dev,triphone_abx_continuous,11.18
test,HuBERT VP-20,11,10h,600,test,triphone_abx_continuous,5.49
test,HuBERT VP-20,11,10min,10,test,triphone_abx_continuous,7.63
test,HuBERT VP-20,11,1h,60,test,triphone_abx_continuous,6.77
test,HuBERT VP-20,11,10h,600,dev,triphone_abx_continuous,7.68
test,HuBERT VP-20,11,10min,10,dev,triphone_abx_continuous,9.49
test,HuBERT VP-20,11,1h,60,dev,triphone_abx_continuous,9.08
test,HuBERT VP-20,11,0,1,test,triphone_abx_continuous,7.79
test,HuBERT VP-20,11,0,1,dev,triphone_abx_continuous,10.23
test,SpidR MMS-ulab,5,10h,600,test,triphone_abx_continuous,6.4
test,SpidR MMS-ulab,6,10min,10,test,triphone_abx_continuous,7.66
test,SpidR MMS-ulab,5,1h,60,test,triphone_abx_continuous,7.02
test,SpidR MMS-ulab,5,10h,600,dev,triphone_abx_continuous,8.65
test,SpidR MMS-ulab,6,10min,10,dev,triphone_abx_continuous,9.97
test,SpidR MMS-ulab,5,1h,60,dev,triphone_abx_continuous,8.95
test,SpidR MMS-ulab,5,0,1,test,triphone_abx_continuous,7.37
test,SpidR MMS-ulab,5,0,1,dev,triphone_abx_continuous,9.3
test,SpidR VP-20,6,10h,600,test,triphone_abx_continuous,5.09
test,SpidR VP-20,7,10min,10,test,triphone_abx_continuous,6.0
test,SpidR VP-20,7,1h,60,test,triphone_abx_continuous,5.42
test,SpidR VP-20,6,10h,600,dev,triphone_abx_continuous,6.62
test,SpidR VP-20,7,10min,10,dev,triphone_abx_continuous,8.15
test,SpidR VP-20,7,1h,60,dev,triphone_abx_continuous,7.32
test,SpidR VP-20,6,0,1,test,triphone_abx_continuous,6.57
test,SpidR VP-20,6,0,1,dev,triphone_abx_continuous,8.8
